catalog_id, system_name    , planet_name      , measurement_version, record_type, catalog_status, discovery_year, discovery_method, discovery_facility   , source_team        , distance_light_years, distance_entry_mixed_units, star_type, star_mass_solar, star_radius_solar, star_temperature_k, stellar_activity, planet_class, planet_radius_earth, planet_radius_error_plus, planet_radius_error_minus, planet_mass_earth, planet_mass_error_plus, planet_mass_error_minus, orbital_period_days, semi_major_axis_au, eccentricity, equilibrium_temperature_k, transit_depth_ppm, signal_strength, detection_confidence_pct, atmosphere_hint         , liquid_water_index, moon_candidate_count, ring_candidate, anomaly_flag              , follow_up_priority, data_quality_grade, last_observed_date, observer_note
XPS-AARQ  , Novae One      , Novae One-x      ,                   1, Follow-up  , Confirmed     ,           2008, Direct Imaging  , Celestial Mirror One , Solis Research Unit,                11.87, 11.9 ly                   , M        ,           0.478,             0.510,             2889.0, Active          , Ocean World ,               2.043,                    0.287,                     0.137,             4.809,                  0.505,                   1.023,         295125.7554,            67.8280,       0.3487,                     235.0,            1345.6,            2.95,                    74.44, Cloud-dominated         ,              0.652,                    0, No            , Variable transit depth    , Medium            , A                 , 2023-09-17        , No unusual note was reported.
XPS-AARR  , Cetus One      , Cetus One-w      ,                   1, Follow-up  , Provisional   ,           2000, Transit         , Aurora Survey        , Pacific Lens Group ,                78.69,                           , G        ,           0.943,             0.955,             5761.4, Quiet           , Ice Giant   ,               6.113,                    0.998,                     0.466,            56.690,                 11.891,                        ,              4.0770,             0.0490,       0.2199,                    1298.1,            3439.8,           21.16,                    71.29, Sodium signature        ,              0.000,                    0, No            , Orbital drift             , Low               , C                 , 2011-12-12        , The distance entry uses a converted unit.
XPS-AARS  , Novae Quarta   , Novae Quarta-j   ,                   2, Follow-up  , Confirmed     ,           2005, Transit         , Orbital Lens Network , Pacific Lens Group ,               263.57, 80.8 pc                   , k        ,           0.843,             0.883,             4892.4, Moderate        , Ice Giant   ,               3.833,                    0.510,                     0.045,            12.388,                       ,                   0.571,            621.8700,             1.3485,             ,                     183.2,            1514.2,            8.24,                    70.05, Hydrogen-rich           ,              0.109,                    0, No            , Unusual dimming           , Low               , B                 , 2024-08-25        , Several measurements are absent from the early record.
XPS-AART  , Altara One     , Altara One-p     ,                   1, Primary    , Confirmed     ,           2005, Transit         , Orbital Lens Network , Blue Orbit Group   ,              1181.18, 362.2 pc                  , G        ,           0.890,             0.897,             5643.4, Quiet           , Mini-Neptune,               2.974,                    0.475,                     0.067,            10.205,                  0.560,                   0.943,             60.7599,             0.2909,             ,                     491.8,             920.8,            3.51,                    77.79, Sodium signature        ,                   ,                    0, No            , None                      , Low               , C                 , 2012-11-24        , Two observing teams reported slightly different radii.
XPS-AARU  , Cyra Tertia    , Cyra Tertia-c    ,                   2, Primary    , Confirmed     ,           2003, Microlensing    , Andes Survey         , Meridian Study     ,                38.54, 38.5 ly                   , K        ,           0.779,             0.816,             4839.5, Quiet           , Rocky       ,               0.535,                    0.023,                     0.041,             0.098,                  0.065,                   0.060,           6187.6601,             6.0662,       0.1054,                      95.2,                  ,            6.02,                    67.19, Water vapor candidate   ,              0.169,                    0, No            , None                      , Medium            , A                 , 2016-04-15        , The record includes a later reanalysis.
XPS-AARV  , Caeli Minor    , Caeli Minor-t    ,                   1, Primary    , Confirmed     ,           2022, Transit Timing  , Clockwork Survey     , Blue Orbit Group   ,               920.41, 282.2 pc                  , A        ,           1.615,             1.531,             8196.7, Active          , Super-Earth ,               1.561,                    0.060,                     0.148,             3.414,                       ,                   0.207,                    ,             1.9633,       0.0908,                          ,              87.2,            3.92,                    71.99, No clear signal         ,              0.457,                    0, No            , Variable transit depth    , Medium            , A                 , 2017-11-11        , The record includes a later reanalysis.
XPS-AARW  , Vela Prime     , Vela Prime-c     ,                   1, Primary    , Provisional   ,           2011, Microlensing    , Pacific Field Network, Sky Atlas Team     ,                 8.65, 2.7 pc                    , F        ,           1.173,             1.137,             7135.5, Moderate        , Ice Giant   ,               5.021,                    0.323,                     0.048,            28.177,                       ,                   0.310,            209.8378,             0.7289,       0.3383,                     406.6,            1636.3,            6.69,                    62.05, Cloud-dominated         ,              0.055,                    1, No            , Variable transit depth    , Low               , A                 , 2019-05-12        , The distance entry uses a converted unit.
XPS-AARX  , Talos Tertia   , Talos Tertia-r   ,                   1, Follow-up  , Confirmed     ,           2001, Radial Velocity , Highland Spectrograph, Caeli Survey       ,              5227.04, 5227.0 ly                 , M        ,           0.456,             0.493,             2659.3, Highly active   , Mini-Neptune,               2.639,                    0.359,                     0.395,            11.426,                  2.650,                   1.574,                    ,             0.2499,       0.2025,                     201.3,            2404.0,           22.87,                    70.62, No clear signal         ,                   ,                    0, No            , Variable transit depth    , High              , C                 , 2025-01-11        , No unusual note was reported.
XPS-AARY  , Arden C        , Arden C-d        ,                   2, Primary    , Confirmed     ,           2003, Transit         , Aurora Survey        , North Ridge Team   ,                 8.56, 8.6 ly                    , K        ,           0.587,             0.649,             4707.0, Active          , Super-Earth ,               2.336,                         ,                     0.359,            12.343,                       ,                   2.892,            739.4003,             1.3396,       0.0583,                     171.4,            1157.7,            8.89,                    76.94, Methane candidate       ,              0.411,                    0, No            , Variable transit depth    , High              , A                 , 2014-12-13        , Stellar noise complicates the mass estimate.
XPS-AARZ  , Luma Two       , Luma Two-q       ,                   1, Primary    , Confirmed     ,           2011, Pulsar Timing   , Radio Arc Array      , Caeli Survey       ,                10.43, 3.2 pc                    , G        ,           0.944,             0.959,             5616.4, Moderate        , Super-Earth ,                    ,                    0.278,                     0.124,             2.639,                  0.676,                   0.194,             35.9346,             0.2091,       0.2130,                     530.9,             245.2,            5.37,                    79.87, Carbon dioxide candidate,              0.034,                    0, No            , Orbital drift             , Low               , B                 , 2020-08-14        , A faint secondary signal appears in some observations.
XPS-AASA  , Auron C        , Auron C-y        ,                   1, Primary    , Confirmed     ,           2017, Transit         , Orbital Lens Network , North Ridge Team   ,                58.07, 58.1 ly                   , k        ,           0.725,             0.764,             4613.2, Quiet           , Ice Giant   ,               6.389,                    0.842,                     0.146,            79.892,                 19.139,                        ,              8.7949,             0.0749,       0.0884,                          ,            5870.0,           37.14,                    67.80, Carbon dioxide candidate,              0.000,                    0, No            , Variable transit depth    , Low               , B                 , 2017-10-22        , The orbit may be tilted relative to the star.
XPS-AASB  , Mira One       , Mira One-s       ,                   2, Follow-up  , Confirmed     ,           2000, Radial Velocity , Highland Spectrograph, Meridian Study     ,              1910.24, 1910.2 ly                 , F        ,           1.412,             1.302,             6676.5, Active          , Ice Giant   ,               5.876,                    0.499,                     0.115,           100.367,                 22.698,                   7.179,           1667.3252,             3.0870,             ,                     194.6,            1814.9,            9.49,                    71.61, METHANE CANDIDATE       ,              0.138,                    1, No            , none                      , Medium            , B                 , 2019-05-14        , Cloud cover may hide key atmospheric signals.
XPS-AASC  , Talos Prime    , Talos Prime-v    ,                   1, Primary    , Confirmed     ,           2009, Transit         , North Ridge Array    , Solis Research Unit,              3887.00, 3887.0 ly                 , G        ,           1.015,             1.011,             5489.2, Quiet           , Ice Giant   ,               4.610,                    0.415,                     0.026,                  ,                 10.690,                   0.250,            810.3309,             1.7097,       0.1633,                     227.0,            1743.1,           23.92,                    63.18, Water vapor candidate   ,              0.167,                    0, No            , None                      , Medium            , D                 , 2017-12-21        , The distance entry uses a converted unit.
XPS-AASD  , Noma Major     , Noma Major-u     ,                   1, Primary    , Provisional   ,           2020, Transit         , Orbital Lens Network , Aurora Lab         ,                19.29, 19.3 ly                   , M        ,           0.172,             0.258,             3587.0, Highly active   , Super-Earth ,               1.414,                         ,                     0.087,             2.309,                  0.146,                   0.392,            185.6261,             0.3543,       0.2290,                     157.4,            2523.0,            6.84,                    69.00, No clear signal         ,              0.400,                    1, No            , Orbital drift             , Medium            , C                 , 2025-06-29        , The record includes a later reanalysis.
XPS-AASE  , Luma South     , Luma South-x     ,                   1, Primary    , Confirmed     ,           2007, Transit         , Orbital Lens Network , North Ridge Team   ,             10267.95, 3148.2 pc                 , K        ,           0.726,             0.780,             4002.8, Active          , Mini-Neptune,               3.249,                         ,                     0.418,            30.000,                  3.402,                   4.987,            966.6904,             1.7200,       0.1653,                     123.4,            1453.8,            5.52,                    76.84, cloud-dominated         ,              0.194,                    0, No            , Variable transit depth    , Medium            , B                 , 2025/03/01        , Several measurements are absent from the early record.
XPS-AASF  , Solis Minor    , Solis Minor-x    ,                   1, Primary    , Confirmed     ,           1996, Microlensing    , Southern Lens Grid   , Pacific Lens Group ,                 7.89, 7.9 ly                    , M        ,           0.544,             0.597,             3288.9, HIGHLY ACTIVE   , Gas Giant   ,              12.012,                    1.856,                     0.525,           320.487,                 27.961,                  46.157,          18308.5884,            11.1001,       0.3249,                      36.2,           33959.6,            7.66,                    74.94, Hydrogen-rich           ,              0.006,                    0, Yes           , Timing pattern unresolved , Low               , B                 , 2025-10-10        , A faint secondary signal appears in some observations.
XPS-AASG  , Mira North     , Mira North-n     ,                   1, Primary    , Disputed      ,           2003, Microlensing    , Andes Survey         , Caeli Survey       ,               227.13, 69.6 pc                   , M        ,           0.508,             0.587,             3728.8, Active          , Mini-Neptune,               3.387,                    0.271,                     0.464,            29.611,                  3.732,                        ,            323.5721,             0.7358,       0.1748,                     153.9,                  ,           16.62,                    69.55, Sodium signature        ,              0.335,                    0, No            , None                      , Low               , C                 , 2024-11-30        , The orbit may be tilted relative to the star.
XPS-AASH  , Auron C        , Auron C-e        ,                   1, Primary    , Confirmed     ,           2004, Transit         , North Ridge Array    , North Ridge Team   ,             12707.75, 12707.7 ly                , M        ,           0.510,             0.528,             2690.0, Moderate        , Gas Giant   ,               9.093,                    0.341,                     0.722,           571.051,                 30.757,                        ,              5.2220,             0.0471,       0.1254,                     408.0,           24907.8,           10.46,                    79.56, Methane candidate       ,                   ,                    0, Yes           , Possible ring system      , Medium            , D                 , 2017-03-30        , The system may contain another unseen world.
XPS-AASJ  , Astra One      , Astra One-d      ,                   1, Primary    , Confirmed     ,           2025, Transit         , North Ridge Array    , Solis Research Unit,                 9.40, 9.4 ly                    , F        ,           1.178,             1.137,             6141.2, Quiet           , Rocky       ,               0.987,                    0.043,                     0.052,             0.823,                  0.127,                   0.148,            155.8919,             0.5987,       0.0554,                     441.0,              63.1,           22.85,                    65.91, Carbon dioxide candidate,              0.263,                    0, No            , Unexpected infrared excess, Medium            , B                 , 2016-02-15        , Cloud cover may hide key atmospheric signals.
XPS-AASK  , Eris C         , Eris C-s         ,                   1, Follow-up  , Confirmed     ,           2025, Microlensing    , Southern Lens Grid   , Caeli Survey       ,               223.72, 69.0 pc                   , M        ,           0.187,             0.266,             3285.6, Active          , Lava World  ,               1.448,                    0.234,                     0.126,             3.516,                       ,                   0.075,            816.9469,             0.9776,       0.1836,                    1823.6,            2480.9,           21.16,                    69.02, Sodium signature        ,              0.000,                    0, No            , None                      , Low               , D                 , 2015-11-06        , The distance entry uses a converted unit.
XPS-AASL  , Kepleris Sigma , Kepleris Sigma-v ,                   1, Primary    , Confirmed     ,           2025, Direct Imaging  , Celestial Mirror One , North Ridge Team   ,                15.14, 15.1 ly                   , M        ,           0.559,             0.577,             3369.4, Quiet           , Mini-Neptune,               2.278,                    0.350,                     0.029,             9.661,                  2.360,                   1.690,           1896.9253,             2.4709,       0.0133,                      69.2,                  ,           12.35,                    63.06, No clear signal         ,              0.097,                    0, No            , None                      , Low               , D                 , 2023-07-18        , The orbit may be tilted relative to the star.
XPS-AASM  , Novae Major    , Novae Major-g    ,                   1, Primary    , Confirmed     ,           2002, Radial Velocity , Red Mesa Array       , Meridian Study     ,                 6.78, 6.8 ly                    , k        ,           0.609,             0.642,             5077.8, Moderate        , Rocky       ,               1.015,                    0.120,                     0.037,             0.738,                  0.201,                   0.132,           2288.7337,             2.8806,             ,                          ,             209.7,           26.31,                    65.70, Hydrogen-rich           ,              0.184,                    0, No            , None                      , Low               , C                 , 2023-09-20        , Stellar noise complicates the mass estimate.
XPS-AASN  , Auron Quarta   , Auron Quarta-k   ,                   2, Primary    , Confirmed     ,           2001, Transit         , Aurora Survey        , Caeli Survey       ,               656.64, 656.6 ly                  , F        ,           1.127,             1.098,             7137.1, Quiet           , Gas Giant   ,              15.845,                    0.595,                     0.952,           250.995,                 23.585,                  23.403,           6669.8282,             7.2103,       0.0307,                     130.8,           16566.3,            5.87,                    70.71, Hydrogen-rich           ,              0.057,                    5, No            , None                      , Low               , B                 , 2024-12-04        , The system may contain another unseen world.
XPS-AASP  , Arden Prime    , Arden Prime-n    ,                   1, Primary    , Confirmed     ,           2014, Astrometry      , Meridian Mapper      , Solis Research Unit,              7828.21, 7828.2 ly                 , A        ,           1.741,             1.660,             7811.2, Highly active   , Super-Earth ,               1.803,                    0.303,                     0.052,             5.640,                  0.152,                   0.933,           1024.2390,             2.3924,       0.0150,                     300.1,                  ,            8.41,                    63.55, Water vapor candidate   ,              1.000,                    0, No            , None                      , Urgent            , B                 , 2013-07-30        , Several measurements are absent from the early record.
XPS-AASQ  , Neris Sigma    , Neris Sigma-x    ,                   1, Primary    , confirmed     ,           2012, Radial Velocity , Solis Observatory    , Caeli Survey       ,              1577.12, 483.5 pc                  , F        ,           1.480,             1.442,             6378.9, Moderate        , Mini-Neptune,               4.097,                    0.270,                     0.497,            30.000,                  2.227,                   5.011,            100.7006,             0.4827,       0.0922,                     517.7,                  ,           15.04,                    79.00, Carbon dioxide candidate,              0.047,                    0, No            , Possible moon signal      , Low               , A                 , 2025-02-04        , No unusual note was reported.
XPS-AASR  , Tarin Tertia   , Tarin Tertia-y   ,                   1, Primary    , provisional   ,           2016, Transit         , North Ridge Array    , Solis Research Unit,                27.95, 8.6 pc                    , M        ,           0.507,             0.578,             2972.0, Active          , Rocky       ,               0.844,                    0.044,                     0.064,                  ,                  0.069,                   0.118,           1113.0892,             1.6763,       0.2455,                      74.2,             178.7,            4.48,                    62.31, No clear signal         ,              0.092,                    0, No            , Asymmetric transit        , Low               , A                 , 2018-04-11        , Stellar noise complicates the mass estimate.
XPS-AASS  , Solis A        , Solis A-t        ,                   1, Primary    , Confirmed     ,           2025, Microlensing    , Andes Survey         , Aurora Lab         ,                18.61, 5.7 pc                    , A        ,           1.744,             1.667,             8397.6, Active          , Ice Giant   ,               4.012,                    0.476,                     0.403,            95.000,                 20.743,                        ,           3245.2998,             5.1634,       0.2599,                     247.9,             485.9,          189.29,                    75.45, No clear signal         ,              0.127,                    0, No            , None                      , Low               , C                 , 09/03/2018        , A faint secondary signal appears in some observations.
XPS-AAST  , Solis Minor    , Solis Minor-d    ,                   1, Primary    , Provisional   ,           2016, Transit Timing  , Clockwork Survey     , Pacific Lens Group ,              4697.95, 4690.0 ly                 , K        ,           0.639,             0.703,             4614.8, Active          , Mini-Neptune,               2.671,                    0.049,                     0.241,            13.228,                  2.014,                   0.859,           1727.3625,             2.4264,       0.0143,                     128.6,            1209.1,            3.03,                    76.20, Methane candidate       ,              0.307,                    0, No            , None                      , Medium            , C                 , 2025-04-16        , The atmospheric result has low certainty.
XPS-AASU  , Vela North     , Vela North-d     ,                   1, Primary    , Confirmed     ,           2003, Radial Velocity , Solis Observatory    , Meridian Study     ,                12.79, 12.8 ly                   , K        ,           0.794,             0.807,             3919.8, Active          , Ocean World ,               1.449,                    0.217,                     0.087,             2.048,                  0.149,                   0.443,            359.6458,             0.9166,       0.1144,                     235.0,                  ,           35.98,                    72.39, Water vapor candidate   ,              0.742,                    0, No            , None                      , High              , B                 , 2012-04-20        , Follow-up data changed the estimated year length.
XPS-AASV  , Cetus A        , Cetus A-b        ,                   1, Primary    , Confirmed     ,           2001, Direct Imaging  , Summit Imager        , Aurora Lab         ,               264.97, 265.0 ly                  , Subgiant ,           1.052,             1.046,             5980.9, Active          , Super-Earth ,               2.412,                         ,                     0.107,            15.000,                  3.201,                   2.212,          71248.7499,            34.2080,       0.3634,                      46.3,             445.8,           48.41,                    83.07, No clear signal         ,              0.040,                    0, No            , None                      , Low               , B                 , 2012-01-20        , The orbit may be tilted relative to the star.
XPS-AASW  , Auron South    , Auron South-g    ,                   1, Follow-up  , Confirmed     ,           1995, Transit         , Orbital Lens Network , Caeli Survey       ,               478.25, 478.2 ly                  , G        ,           0.883,             0.901,             5464.7, Moderate        , Rocky       ,               0.851,                    0.036,                     0.018,             0.580,                  0.091,                   0.065,              9.0837,             0.0817,             ,                     790.5,              74.8,           11.13,                    77.41, High-altitude haze      ,              0.000,                    0, No            , None                      , Low               , C                 , 2019-08-10        , The record includes a later reanalysis.
XPS-AASX  , Noma Tertia    , Noma Tertia-g    ,                   1, Primary    , Confirmed     ,           2007, Pulsar Timing   , Radio Arc Array      , Aurora Lab         ,                47.04, 47.0 ly                   , a        ,           2.306,             1.940,             9365.3, Moderate        , Rocky       ,               1.417,                    0.069,                     0.157,             1.236,                  0.155,                        ,             18.7105,             0.1822,       0.2690,                          ,              44.7,            9.83,                    66.40, No clear signal         ,              0.000,                    0, No            , None                      , Low               , A                 , 2018-10-10        , The atmospheric result has low certainty.
XPS-AASY  , Zora South     , Zora South-c     ,                   1, Primary    , Confirmed     ,           2021, Radial Velocity , Solis Observatory    , Solis Research Unit,                 8.80, 8.8 ly                    , K        ,           0.690,             0.746,             4874.5, Moderate        , Rocky       ,               0.935,                    0.108,                     0.048,             0.701,                       ,                   0.077,           1819.7193,             2.5690,             ,                     113.8,             131.5,            4.16,                    76.14, No clear signal         ,              0.236,                    0, No            , None                      , Low               , B                 , 02/09/2023        , Stellar noise complicates the mass estimate.
XPS-AASZ  , Selene Quarta  , Selene Quarta-x  ,                   1, Primary    , Confirmed     ,           2000, Transit         , North Ridge Array    , Pacific Lens Group ,               374.44, 374.4 ly                  , G        ,           0.901,             0.907,             5287.0, Moderate        , Rocky       ,               0.784,                    0.128,                     0.107,             0.532,                  0.115,                   0.031,             69.9300,             0.3209,       0.1795,                     399.9,              62.6,           46.93,                    71.20, Water vapor candidate   ,                   ,                     , no            , None                      , Medium            , A                 , 2014-11-28        , No unusual note was reported.
XPS-AATA  , Orin Prime     , Orin Prime-y     ,                   1, Primary    , Confirmed     ,           2018, Transit         , SkyScan Array        , Solis Research Unit,              2408.97, 2409.0 ly                 , M        ,           0.173,             0.227,             3298.8, Active          , Gas Giant   ,              16.983,                    1.203,                     0.466,                  ,                504.408,                 316.425,             45.9669,             0.1398,       0.0222,                     210.1,          471184.5,           18.34,                    84.78,                         ,              0.156,                    0, No            , Possible moon signal      , Low               , A                 , 2021-11-18        , Transit timing varies across observation windows.
XPS-AATB  , Astra Quarta   , Astra Quarta-j   ,                   1, Primary    , Confirmed     ,           2019, Microlensing    , Southern Lens Grid   , North Ridge Team   ,              2788.07, 2788.1 ly                 , F        ,           1.281,             1.233,             7002.4, Moderate        , Gas Giant   ,               8.914,                    0.457,                     0.343,          1701.280,                 34.578,                  26.269,            293.4514,             0.9387,       0.1109,                     375.9,            4387.0,           14.58,                    60.00, High-altitude haze      ,              0.087,                    0, No            , None                      , Low               , D                 , 2021-12-24        , The system may contain another unseen world.
XPS-AATC  , Talos Prime    , Talos Prime-d    ,                   2, Primary    , Confirmed     ,           2015, Astrometry      , Gaia-Like Survey Lab , Meridian Study     ,              9338.48, 2870.0 pc                 , G        ,           0.967,             0.972,             5633.1, Quiet           , Gas Giant   ,              15.179,                    0.833,                     1.505,          1935.991,                       ,                 157.919,             28.1451,             0.1789,       0.2118,                     690.3,                  ,            8.91,                    56.95, Hydrogen-rich           ,              0.000,                    0, No            , Unusual dimming           , Low               , A                 , 2020-02-04        , The atmospheric result has low certainty.
XPS-AATD  , Cetus Minor    , Cetus Minor-v    ,                   1, Primary    , Confirmed     ,           2007, Transit         , North Ridge Array    , Pacific Lens Group ,              3870.00, 3870.0 ly                 , M        ,           0.229,             0.287,             3528.6, Moderate        , Super-Earth ,               2.034,                    0.263,                     0.189,             4.598,                  0.460,                   0.709,          10216.6188,             5.6342,       0.4075,                      34.1,            4216.8,            7.78,                    77.99, Carbon dioxide candidate,              0.033,                    0, No            , Timing pattern unresolved , Low               , A                 , 2017-04-09        , A faint secondary signal appears in some observations.
XPS-AATE  , Vela Major     , Vela Major-g     ,                   1, Primary    , Confirmed     ,           2003, Transit         , Orbital Lens Network , North Ridge Team   ,                28.85, 28.9 ly                   , M        ,           0.349,             0.414,             3033.3, Active          , Rocky       ,               1.472,                    0.202,                     0.213,             3.677,                  0.137,                   0.432,              7.8700,             0.0545,       0.0827,                     413.0,            1062.6,            5.13,                    64.76, High-altitude haze      ,              0.344,                    0, No            , None                      , Low               , B                 , 2020-12-30        , The orbit may be tilted relative to the star.
XPS-AATF  , Altara C       , Altara C-v       ,                   1, Primary    , Provisional   ,           2013, Transit         , SkyScan Array        , Solis Research Unit,                69.46, 69.5 ly                   , G        ,           0.910,             0.928,             5205.4, Moderate        , Lava World  ,               0.550,                    0.035,                     0.070,                  ,                  0.038,                   0.077,            313.6197,             0.8756,       0.4973,                    2319.0,              29.5,           25.56,                    69.00, Cloud-dominated         ,              0.000,                    0, No            , None                      , Low               , B                 , 2014-04-17        , No unusual note was reported.
XPS-AATG  , Mira North     , Mira North-b     ,                   1, Follow-up  , Confirmed     ,           2019, Transit Timing  , Multi-World Array    , Pacific Lens Group ,                24.49, 24.5 ly                   , K        ,           0.619,             0.692,             4580.1, Quiet           , Ice Giant   ,               5.615,                         ,                     0.496,            95.000,                 20.078,                  11.748,           4201.2666,             4.3421,       0.1251,                      90.2,                  ,           25.24,                    81.36, Cloud-dominated         ,              0.019,                    0, No            , NONE                      , Low               , A                 , 2025-02-16        , The orbit may be tilted relative to the star.
XPS-AATH  , Caeli C        , Caeli C-k        ,                   1, Primary    , Disputed      ,           1995, Direct Imaging  , Summit Imager        , Pacific Lens Group ,               255.94, 78.5 pc                   , M        ,           0.220,             0.297,             3842.3, Moderate        , Gas Giant   ,               9.011,                    0.175,                     0.690,           711.879,                107.423,                        ,           6364.4743,             4.0584,       0.4097,                          ,           77258.2,            5.78,                    70.14, Hydrogen-rich           ,              0.007,                    3, No            , None                      , Low               , A                 , 2015-07-13        , Cloud cover may hide key atmospheric signals.
XPS-AATJ  , Astra One      , Astra One-z      ,                   1, Primary    , Confirmed     ,           2001, Radial Velocity , Red Mesa Array       , Caeli Survey       ,               225.00, 225.0 ly                  , M        ,                ,             0.520,             3299.3, Active          , Gas Giant   ,              14.896,                    2.062,                     0.635,          1900.000,                126.856,                  11.316,              3.5448,             0.0338,             ,                     590.5,           69777.7,            3.75,                    70.42,                         ,              0.001,                    5, Yes           , None                      , Low               , A                 , 2022/05/18        , The record includes a later reanalysis.
XPS-AATK  , Cetus C        , Cetus C-d        ,                   1, Follow-up  , Disputed      ,           2004, Transit Timing  , Clockwork Survey     , Caeli Survey       ,              6184.70, 6184.7 ly                 , K        ,           0.769,             0.788,             4770.2, Quiet           , Super-Earth ,               2.146,                    0.067,                     0.117,            10.089,                       ,                   0.137,            577.1461,             1.2425,       0.5002,                     176.2,             621.3,           16.28,                    72.67, Water vapor candidate   ,              0.485,                    1, No            , None                      , High              , C                 , 2012-02-23        , Several measurements are absent from the early record.
XPS-AATL  , Orin One       , Orin One-r       ,                   1, Reanalysis , Confirmed     ,           1995, Transit         , Aurora Survey        , North Ridge Team   ,               254.48, 78.0 pc                   , G        ,           1.080,             1.070,             6045.6, Quiet           , Rocky       ,               0.987,                         ,                     0.142,             1.079,                  0.091,                   0.113,              7.7124,             0.0784,       0.1508,                    1129.0,              71.2,           20.48,                    69.07, Methane candidate       ,              0.000,                    0, No            , None                      , Medium            , A                 , 2014-05-12        , The host star varies across the observation cycle.
XPS-AATM  , Zora Quarta    , Zora Quarta-e    ,                   1, Reanalysis , Confirmed     ,           2018, Microlensing    , Southern Lens Grid   , Pacific Lens Group ,               116.75, 116.7 ly                  , F        ,           1.477,             1.352,             6649.6, Quiet           , Mini-Neptune,               2.372,                         ,                     0.020,             9.489,                  1.198,                        ,            332.1794,             1.0691,       0.2061,                     400.8,             258.3,            9.33,                    84.67, WATER VAPOR CANDIDATE   ,              0.375,                    0, No            , none                      , High              , A                 , 2018-06-21        , Transit timing varies across observation windows.
XPS-AATN  , Astra Delta    , Astra Delta-n    ,                   1, Primary    , Confirmed     ,           2015, Microlensing    , Pacific Field Network, Meridian Study     ,                63.78, 63.8 ly                   , F        ,           1.289,             1.239,             7132.9, Moderate        , Gas Giant   ,               8.192,                    0.435,                     0.033,           399.464,                 17.438,                  11.984,           4060.0204,             5.4199,       0.2132,                     175.7,            3664.2,           18.73,                    70.41, Methane candidate       ,                   ,                    2, No            , None                      , Low               , C                 , 2022-01-18        , The atmospheric result has low certainty.
XPS-AATP  , Solis Prime    , Solis Prime-j    ,                   1, Primary    , CONFIRMED     ,           2007, Radial Velocity , Red Mesa Array       , North Ridge Team   ,             12339.93, 12339.9 ly                , G        ,           1.055,             1.046,             5591.2, Highly active   , Rocky       ,               0.741,                         ,                     0.029,             0.476,                  0.111,                   0.022,           4607.7057,             5.5159,       0.3944,                     116.8,                  ,           13.73,                    69.00, Sodium signature        ,              0.262,                    0, No            , Asymmetric transit        , Low               , B                 , 08/16/2019        , Follow-up data changed the estimated year length.
XPS-AATQ  , Orin Delta     , Orin Delta-z     ,                   1, Primary    , Confirmed     ,           2004, Microlensing    , Southern Lens Grid   , Sky Atlas Team     ,                 5.08, 5.1 ly                    , G        ,           0.919,             0.925,             5500.4, Active          , Ice Giant   ,               4.840,                    0.540,                     0.576,            95.000,                       ,                   1.938,          11874.6297,             9.9039,             ,                      74.7,            2297.1,            7.06,                    95.23,                         ,              0.019,                    2, No            , None                      , Medium            , A                 , 2022/04/16        , The orbit may be tilted relative to the star.
XPS-AATR  , Cetus One      , Cetus One-n      ,                   1, Primary    , Archived      ,           1997, Transit         , Orbital Lens Network , Pacific Lens Group ,                11.10, 11.1 ly                   , K        ,           0.594,                  ,             4765.9, Moderate        , Ice Giant   ,               5.706,                    0.931,                          ,            88.962,                 17.643,                   5.102,           8260.1170,             6.7228,       0.1260,                      64.5,                  ,           24.50,                    74.20, Hydrogen-rich           ,                   ,                    2, No            , None                      , Low               , D                 , 2012-08-12        , The atmospheric result has low certainty.
XPS-AATS  , Novae Two      , Novae Two-y      ,                   1, Primary    , CONFIRMED     ,           2004, Transit         , Orbital Lens Network , Solis Research Unit,               433.65, 433.7 ly                  , M        ,           0.134,             0.177,             2571.8, Moderate        , Ice Giant   ,               5.214,                         ,                     0.195,            74.069,                  5.072,                  10.661,            134.0066,                   ,       0.0929,                     114.1,           72670.5,           26.76,                    73.88, Hydrogen-rich           ,              0.043,                    3, No            , None                      , Low               , C                 , 2025/08/03        , The orbit may be tilted relative to the star.
XPS-AATT  , Caeli Quarta   , Caeli Quarta-f   ,                   1, Primary    , Provisional   ,           2003, Radial Velocity , Highland Spectrograph, Sky Atlas Team     ,                 5.20, 5.2 ly                    , K        ,           0.769,             0.826,             4082.8, Quiet           , Rocky       ,               0.767,                    0.062,                     0.113,             0.337,                  0.026,                   0.070,              8.7572,             0.0762,       0.0559,                     690.0,                  ,           43.61,                    78.43, No clear signal         ,              0.000,                    0, No            , None                      , Low               , A                 , 2022/01/19        , The system may contain another unseen world.
XPS-AATU  , Kepleris Sigma , Kepleris Sigma-f ,                   1, Primary    , Confirmed     ,           2016, Radial Velocity , Red Mesa Array       , Blue Orbit Group   ,               444.27, 444.3 ly                  , M        ,           0.215,             0.291,             2671.9, Moderate        , MINI-NEPTUNE,               2.765,                    0.116,                     0.185,            17.287,                  1.456,                   2.832,             11.7234,             0.0605,             ,                     310.1,            7580.9,          126.21,                    84.82,                         ,              0.755,                    1, No            , None                      , High              , C                 , 2012-12-19        , Two observing teams reported slightly different radii.
